"","plot_keywords","genre","usa_gross_income","budget","language","country","avg_vote","reviews_from_critics","date_published","year","title_and_year"
"37","future|sail|sea|smoker|water","Action, Adventure, Sci-Fi","$ 88246220","$ 175000000","English","USA",6.2,129,"1995-09-15","1995","Waterworld (1995)"
"38","anger|joy|memory|running away|sadness","Animation, Adventure, Comedy","$ 356921711","$ 175000000","English","USA",8.1,589,"2015-09-16","2015","Inside Out (2015)"
"39","hammer|military|monaco|revenge|tony stark","Action, Adventure, Sci-Fi","$ 312433331","$ 200000000","English, French, Russian","USA",7,495,"2010-04-30","2010","Iron Man 2 (2010)"
"40","curse|dark fantasy|fairy|king|kingdom","Action, Adventure, Family","$ 241410378","$ 180000000","English","USA",7,428,"2014-05-28","2014","Maleficent (2014)"
"41","box office flop|ronin|samurai|shogun|tournament","Action, Drama, Fantasy","$ 38362475","$ 175000000","English, Japanese","USA, UK, Japan, Hungary",6.3,232,"2014-03-13","2014","47 Ronin (2014)"
"42","conspiracy|heroism|megalomaniac|super soldier|world domination","Action, Adventure, Sci-Fi","$ 259766572","$ 170000000","English, French","USA",7.7,614,"2014-03-26","2014","Captain America: The Winter Soldier (2014)"
"43","high tech|martial arts|masked man|robot|superhero","Animation, Action, Adventure","$ 222527828","$ 165000000","English","USA",7.8,413,"2014-12-18","2014","Big Hero 6 (2014)"
"44","black hole|father daughter relationship|saving the world|space travel|wormhole","Adventure, Drama, Sci-Fi","$ 188020017","$ 165000000","English","USA, UK, Canada",8.6,625,"2014-11-06","2014","Interstellar (2014)"
"45","ambiguous ending|corporate espionage|dream|subconscious|thief","Action, Adventure, Sci-Fi","$ 292576195","$ 160000000","English, Japanese, French","USA, UK",8.8,473,"2010-09-24","2010","Inception (2010)"
"46","cruise|escape|ocean|passenger|water","Action, Adventure, Thriller","$ 60674817","$ 160000000","English, Spanish","USA",5.7,232,"2006-06-01","2006","Poseidon (2006)"
"47","alternate timeline|cyborg|future|robot|time machine","Action, Adventure, Sci-Fi","$ 89760956","$ 155000000","English","USA, Canada",6.3,517,"2015-07-09","2015","Terminator Genisys (2015)"
"48","air raid|black smoke|japanese military|japanese navy|sunday","Action, Drama, History","$ 198542554","$ 140000000","English, Japanese, French","USA",6.2,199,"2001-06-01","2001","Pearl Harbor (2001)"
"49","alien contact|autobot|decepticon|robot vs. robot|teenage hero","Action, Adventure, Sci-Fi","$ 319246193","$ 150000000","English, Spanish","USA",7,396,"2007-06-28","2007","Transformers (2007)"
"50","ancient greece|conquest|greek|greek myth|king","Action, Biography, Drama","$ 34297191","$ 155000000","English","USA, UK, Germany, Netherlands, France, Italy, Morocco, Thailand",5.6,236,"2005-01-14","2005","Alexander (2005)"
"51","bully comeuppance|destruction|prison|superhero|tough girl","Action, Fantasy","$ 227946274","$ 150000000","English, Japanese, Vietnamese","USA",6.4,302,"2008-09-12","2008","Hancock (2008)"
"52","chef|food|french|rat|restaurant","Animation, Adventure, Comedy","$ 206445654","$ 150000000","English, French","USA",8,330,"2007-10-17","2007","Ratatouille (2007)"
"53","armored car|gangster|gotham|mixed martial arts|social decay","Action, Adventure","$ 206852432","$ 150000000","English, Mandarin","USA, UK",8.2,324,"2005-06-17","2005","Batman Begins (2005)"
"54","magic|sister love|sister sister relationship|snow|snowman","Adventure, Drama, Thriller","$ 246176","","English","USA",6.1,241,"2011-03-25","2011","Frozen (2011)"
"55","arrest|portal|thor|warrior|weapon","Action, Adventure, Fantasy","$ 206362140","$ 170000000","English","USA",6.9,525,"2013-11-20","2013","Thor: The Dark World (2013)"
"56","australia|desert|escape|on the run|post apocalypse","Action, Adventure, Sci-Fi","$ 154058340","$ 150000000","English, Russian","Australia, South Africa",8.1,830,"2015-05-14","2015","Mad Max: Fury Road (2015)"
"57","battle|marvel cinematic universe|scientist|thor|throne","Action, Adventure, Fantasy","$ 181030624","$ 150000000","English","USA",7,563,"2011-04-27","2011","Thor (2011)"
"58","camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup","Comedy, Fantasy, Horror","$ 79727149","$ 150000000","English","USA, Australia, UK",6.2,541,"2012-05-11","2012","Dark Shadows (2012)"
"59","capture|computer hacker|mission|rogue agent|spy","Action, Adventure, Thriller","$ 195042377","$ 150000000","English, Swedish, German, Russian","USA, China, Hong Kong, Austria, UK, Morocco",7.4,513,"2015-08-19","2015","Mission: Impossible - Rogue Nation (2015)"
"60","bee|dream sequence|egg|scatological humor|squashed bug","Animation, Adventure, Comedy","$ 126631277","$ 150000000","English","USA, Australia",6.1,192,"2007-12-21","2007","Bee Movie (2007)"
"61","china|kung fu|panda|peacock|tigress","Animation, Action, Adventure","$ 165249063","$ 150000000","English","USA",7.2,291,"2011-08-24","2011","Kung Fu Panda 2 (2011)"
"62","arms dealer|fictional government agency|mission|rescue|vatican","Action, Adventure, Thriller","$ 134029801","$ 150000000","English, Italian, Mandarin, Cantonese, German, Czech","USA, Germany, China, Italy",6.9,327,"2006-05-05","2006","Mission: Impossible III (2006)"
"63","greek|mythology|prince|trojan|troy","Drama, History","$ 133378256","$ 175000000","English","USA, Malta, UK",7.2,211,"2004-05-21","2004","Troy (2004)"
"64","ghost|ghostbuster|ghostbusters|male objectification|reboot","Action, Comedy, Fantasy","$ 128350574","$ 144000000","English","USA, Australia",5.2,689,"2016-07-28","2016","Ghostbusters (2016)"
"65","alien|lingerie|lingerie model|m.i.b.|pug","Action, Adventure, Comedy","$ 193735288","$ 140000000","English","USA",6.2,201,"2002-09-13","2002","Men in Black II (2002)"
"66","china|kung fu|panda|pig|village","Animation, Action, Adventure","$ 143528619","$ 145000000","English","China, USA",7.1,242,"2016-03-17","2016","Kung Fu Panda 3 (2016)"
"67","box office hit|future|lifted by the throat|star trek|vulcan","Action, Adventure, Sci-Fi","$ 257730019","$ 150000000","English","USA, Germany",7.9,544,"2009-05-08","2009","Star Trek (2009)"
"68","evil|goblin|spider|spider man|superhero","Action, Adventure, Sci-Fi","$ 407022860","$ 139000000","English","USA",7.3,322,"2002-06-07","2002","Spider-Man (2002)"
"69","ancient egypt|egypt|egyptian|egyptian god|egyptian goddess","Action, Adventure, Fantasy","$ 31153464","$ 140000000","English","USA, Australia, China, Hong Kong",5.4,216,"2016-02-25","2016","Gods of Egypt (2016)"
"70","conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity","Action, Drama, Mystery","$ 107509799","$ 130000000","English","USA",7.6,485,"2009-03-06","2009","Watchmen (2009)"
"71","1980s|c 130 hercules|monster|panzer|san francisco california","Action, Sci-Fi","$ 132177234","$ 137000000","English, Spanish","USA",5.6,287,"2003-08-29","2003","Hulk (2003)"
"72","beach|civil war|desert|dictator|ship","Action, Adventure, Comedy","$ 68671925","$ 130000000","English, French, Arabic","UK, Spain, Germany, USA, France",6,157,"2005-04-22","2005","Sahara (2005)"
"73","3d|antarctica|krill|penguin|sequel","Animation, Adventure, Comedy","$ 64006466","$ 135000000","English","Australia, USA",5.9,161,"2011-11-25","2011","Happy Feet 2 (2011)"
"74","accident|freak accident|race|snail|underdog","Animation, Adventure, Comedy","$ 83028128","$ 135000000","English","USA",6.4,169,"2013-08-19","2013","Turbo (2013)"
"75","chameleon|lizard|sheriff|water|western town","Animation, Adventure, Comedy","$ 123477607","$ 135000000","English","USA",7.2,378,"2011-03-11","2011","Rango (2011)"
"76","kung fu|kung fu master|master|panda|snow leopard","Animation, Action, Adventure","$ 215434591","$ 130000000","English","USA",7.5,275,"2008-08-29","2008","Kung Fu Panda (2008)"
"77","ant|chinatown san francisco|heist|sabotage|vault","Action, Adventure, Comedy","$ 180202163","$ 130000000","English","USA",7.3,585,"2015-08-12","2015","Ant-Man (2015)"
"78","alien friendship|alien invasion|australia|flying car|mother daughter relationship","Drama","$ 9478","$ 500000","","USA",5.8,8,"2008-08-23","2008","Home (2008)"
"79","cuba|dea|drugs|money|undercover","Action, Comedy, Crime","$ 138608444","$ 130000000","English, Spanish, Russian","USA",6.6,114,"2003-10-17","2003","Bad Boys II (2003)"
"80","cia|on the run|russian|russian spy|strong female lead","Action, Mystery, Thriller","$ 118311368","$ 110000000","English, Russian, Korean","USA",6.4,341,"2010-10-29","2010","Salt (2010)"
"81","ark|flood|noah's ark|water|wrath of god","Action, Adventure, Drama","$ 101200044","$ 125000000","English","USA",5.7,447,"2014-04-10","2014","Noah (2014)"
"82","australia|cattle|darwin|drover|japanese","Adventure, Comedy, Drama","$ 49554002","$ 130000000","English, Aboriginal, Chinese, Japanese","UK, Australia, USA",6.6,241,"2009-01-16","2009","Australia (2009)"
"83","box office flop|father son team|fear|race against time|real life father and son playing father and son","Action, Adventure, Sci-Fi","$ 60522097","$ 130000000","English","USA",4.8,369,"2013-06-06","2013","After Earth (2013)"
"84","battle|city|planet|prison|superhero","Animation, Action, Comedy","$ 148415853","$ 130000000","English","USA",7.2,237,"2010-12-17","2010","Megamind (2010)"
"85","mutant|prison|professor|school|x men","Action, Sci-Fi, Thriller","$ 214949694","$ 110000000","English, German, Italian, Spanish","Canada, USA",7.4,166,"2003-04-30","2003","X-Men 2 (2003)"
"86","assassin|cia|drone|pill|wolf","Action, Adventure, Thriller","$ 113203870","$ 125000000","English, Russian, Filipino, Ukrainian","USA, Japan",6.7,454,"2012-09-07","2012","The Bourne Legacy (2012)"
"87","butler|critically bashed|cure|freeze|gotham","Action, Sci-Fi","$ 107353792","$ 125000000","English","USA, UK",3.7,216,"1997-08-29","1997","Batman & Robin (1997)"
"88","cure|mission|terrorist|thief|virus","Action, Adventure, Thriller","$ 215409889","$ 125000000","English","USA, Germany",6.1,233,"2000-07-07","2000","Mission: Impossible II (2000)"
"89","blackheart|devil|father|ghost|mephistopheles","Action, Fantasy, Thriller","$ 115802596","$ 110000000","English","USA, Australia",5.2,290,"2007-03-16","2007","Ghost Rider (2007)"
"90","black ops|chase|cia|cia agent|repeated scene","Action, Thriller","$ 162434410","$ 120000000","English, Greek, German, Japanese","USA, China",6.6,344,"2016-09-01","2016","Jason Bourne (2016)"
"91","cave painting|medical scanner|planet|pregnant with an alien fetus|suspended animation","Adventure, Mystery, Sci-Fi","$ 126477084","$ 130000000","English, Scottish Gaelic","USA, UK",7,833,"2012-09-14","2012","Prometheus (2012)"
"92","anthropomorphic mouse|falcon|marshmallow|second part|soccer","Animation, Adventure, Comedy","$ 64956806","$ 120000000","English","USA",5.5,71,"2002-08-30","2002","Stuart Little 2 (2002)"
"93","christ figure|class differences|messiah|saviour|social commentary","Action, Drama, Sci-Fi","$ 93050117","$ 115000000","English, Spanish, French, Afrikaans, Ukrainian","USA, Mexico, Canada",6.6,503,"2013-08-29","2013","Elysium (2013)"
"94","bounty hunter|escape|necromonger|planet|warrior","Action, Adventure, Sci-Fi","$ 57761012","$ 105000000","English","USA",6.7,211,"2004-08-20","2004","The Chronicles of Riddick (2004)"
"95","law enforcement|police|robocop|robot|technology","Action, Crime, Sci-Fi","$ 58607007","$ 100000000","English, Persian, Ukrainian","USA",6.1,523,"2014-02-06","2014","RoboCop (2014)"
"96","based on anime|based on cartoon|gadget car|racer|speed","Action, Adventure, Comedy","$ 43945766","$ 120000000","English","USA, Australia, Germany",6,279,"2008-05-09","2008","Speed Racer (2008)"
"97","cabin in the woods|drone|flying through a thunderstorm|post apocalypse|sex in a pool","Action, Adventure, Sci-Fi","$ 89107235","$ 120000000","English","USA",7,566,"2013-04-11","2013","Oblivion (2013)"
"98","code|duty|steel helmet|u.s. marine|u.s. soldier","Action, Drama, War","$ 40914068","$ 115000000","English, Navajo, Japanese","USA",6.1,143,"2002-06-28","2002","Windtalkers (2002)"
"99","box office hit|long take|sole survivor|space|space station","Drama, Sci-Fi, Thriller","$ 274092705","$ 100000000","English, Greenlandic","UK, USA, Mexico",7.7,782,"2013-10-03","2013","Gravity (2013)"
"100","disaster movie|earthquake|journey|natural disaster|san andreas fault","Action, Adventure, Drama","$ 155190832","$ 110000000","English","USA",6.1,400,"2015-05-28","2015","San Andreas (2015)"
"101","father daughter relationship|heist|pretending to be pregnant|sequel|thief","Crime, Thriller","$ 125544280","$ 110000000","English, Dutch, French, Italian, Mandarin","USA",6.5,207,"2004-12-17","2004","Ocean's Twelve (2004)"
"102","assassin|marriage|secret agent|suburb|target","Action, Comedy, Crime","$ 186336279","$ 110000000","English, Spanish","USA",6.5,240,"2005-12-02","2005","Mr. & Mrs. Smith (2005)"
"103","1920s|aviation|fight|spruce goose|test flight","Biography, Drama","$ 102610330","$ 110000000","English","Germany, USA",7.5,262,"2005-01-28","2005","The Aviator (2005)"
"104","heir|kung fu|party|playboy|superhero","Action, Comedy, Crime","$ 98780042","$ 120000000","English, Mandarin","USA",5.8,453,"2011-01-28","2011","The Green Hornet (2011)"
"105","arena|boxing|boxing movie|robot|robot battle","Action, Drama, Sci-Fi","$ 85468508","$ 110000000","English, Ukrainian","USA, India",7.1,337,"2011-11-25","2011","Real Steel (2011)"
"106","alien|future|manipulation|simulation|training","Action, Adventure, Fantasy","$ 61737191","$ 110000000","English","USA",6.6,341,"2013-10-30","2013","Ender's Game (2013)"
"107","clone|environment|escape|island|lottery","Action, Sci-Fi, Thriller","$ 35818913","$ 126000000","English","USA",6.8,266,"2005-08-26","2005","The Island (2005)"
"108","future|murder|neo noir|washington d.c.|year 2054","Action, Crime, Mystery","$ 132072926","$ 102000000","English, Swedish","USA",7.6,262,"2002-09-27","2002","Minority Report (2002)"
"109","casino|espionage|free running|james bond|terrorist","Action, Adventure, Thriller","$ 167445960","$ 150000000","English, Serbian, German, Italian, French","UK, Czech Republic, USA, Germany, Bahamas",8,350,"2007-01-05","2007","Casino Royale (2007)"
"110","death|heroin|popcorn|smuggling|vietnam","Biography, Crime, Drama","$ 130164645","$ 100000000","English, Thai, Spanish","USA, UK",7.8,319,"2008-01-18","2008","American Gangster (2008)"
"111","espionage|secret agent|secret mission|spy|spy film","Action, Comedy, Thriller","$ 146282411","$ 115000000","English, French, Arabic, German","USA",7.2,97,"1994-09-11","1994","True Lies (1994)"
"112","dynamite|historically inaccurate|ku klux klan|n word|slavery","Drama, Western","$ 162805434","$ 100000000","English, German, French, Italian","USA",8.4,838,"2013-01-17","2013","Django Unchained (2013)"
"113","dragon|dragon rider|fictional war|sword and fantasy|teenage hero","Action, Adventure, Family","$ 75030163","$ 100000000","English","USA, UK, Hungary",5.1,184,"2006-12-22","2006","Eragon (2006)"
"114","police surveillance|surveillance van|tailing a suspect|tourist|venice italy","Action, Adventure, Crime","$ 67631157","$ 100000000","English, French, Italian, Russian, Spanish","USA, France, Italy, UK",6,332,"2010-12-17","2010","The Tourist (2010)"
"115","based on true story|fellatio|female rear nudity|sex in an airplane|stockbroker","Biography, Crime, Drama","$ 116900694","$ 100000000","English, French","USA",8.2,645,"2014-01-23","2014","The Wolf of Wall Street (2014)"
"116","love|necktie|partner|rock music|tuxedo","Action, Adventure","$ 184069126","$ 100000000","English","USA, UK",5.4,186,"1995-10-06","1995","Batman Forever (1995)"
"117","composer|future|letter|nonlinear timeline|nursing home","Action, Drama, Mystery","$ 27108272","$ 102000000","English, Spanish, Ukrainian, Korean","USA, Germany, Hong Kong, Singapore, China",7.4,523,"2013-01-10","2013","Cloud Atlas (2013)"
"118","based on cult comic book|bechdel test passed|cat|detective|radical transformation","Action, Crime, Fantasy","$ 40202379","$ 100000000","English, Spanish","USA",3.4,131,"2004-08-27","2004","Catwoman (2004)"
"119","army|greek mythology|hercules|king|mercenary","Animation, Adventure, Comedy","$ 99112101","$ 85000000","English, Spanish, Greek","USA, France",7.3,95,"1997-12-05","1997","Hercules (1997)"
"120","human versus dinosaur|lizard|primate|time travel|tyrannosaurus rex","Action, Adventure, Comedy","$ 49438370","$ 100000000","English","USA",5.3,156,"2009-12-11","2009","Land of the Lost (2009)"
"121","athlete|extreme sports|fbi|fbi agent|heist","Action, Adventure, Crime","$ 28782481","$ 105000000","English, French, Spanish","China, Germany, USA, Austria, Italy, Canada",5.3,193,"2016-01-27","2016","Point Break (2016)"
"122","cia|iraq|iraqi|political military conspiracy|weapon of mass destruction","Action, Drama, Thriller","$ 35053660","$ 100000000","English, Arabic","UK, France, Spain, USA",6.8,268,"2010-04-23","2010","Green Zone (2010)"
"123","butcher|civil war|gangster|new york city|revenge","Crime, Drama","$ 77812000","$ 100000000","English, Irish, Chinese, Latin","USA, Italy",7.5,237,"2003-01-24","2003","Gangs of New York (2003)"
"124","abu dhabi|box office hit|muslim|nanny|united arab emirates","Comedy, Drama, Romance","$ 95347692","$ 100000000","English, Arabic","USA",4.5,223,"2010-05-28","2010","Sex and the City 2 (2010)"
"125","illuminati|planetary alignment|time|tomb|tomb raider","Action, Adventure, Fantasy","$ 131168070","$ 115000000","English","USA, UK, Japan, Germany",5.8,211,"2001-12-14","2001","Lara Croft: Tomb Raider (2001)"
"126","artificial intelligence|consciousness|power outage|scientist|technology","Action, Drama, Sci-Fi","$ 23022309","$ 100000000","English","UK, China, USA",6.3,373,"2014-04-17","2014","Transcendence (2014)"
"127","dinosaur|island|jurassic park|paleontologist|search","Action, Adventure, Sci-Fi","$ 181171875","$ 93000000","English, Spanish","USA",5.9,226,"2001-08-31","2001","Jurassic Park III (2001)"
"128","alien|box office hit|flying saucer|laser gun|wisecrack humor","Action, Adventure, Comedy","$ 250690539","$ 90000000","English, Spanish","USA",7.3,162,"1997-10-03","1997","Men in Black (1997)"
"129","booty shake|box office hit|duct tape over mouth|first part|martial arts","Action, Adventure, Comedy","$ 125305545","$ 93000000","English, German, Finnish, Japanese, Cantonese","USA, Germany",5.5,196,"2000-11-24","2000","Charlie's Angels (2000)"
"130","booty shake|box office hit|duct tape over mouth|first part|martial arts","Action, Adventure, Comedy","$ 17803077","$ 48000000","English, French, Portuguese, German, Turkish","Germany, USA",4.7,178,"2020-08-06","2020","Charlie's Angels (2020)"
"131","based on poem|based on true story|china|one word title|the huns","Animation, Adventure, Family","$ 120620254","$ 90000000","English, Mandarin","USA",7.6,142,"1998-12-04","1998","Mulan (1998)"
"132","film director|parody|spoof|vietnam|written and directed by cast member","Action, Comedy, War","$ 110515313","$ 92000000","English, Mandarin","USA, UK, Germany",7,326,"2008-10-24","2008","Tropic Thunder (2008)"
"133","black magic|bridge construction|professor moriarty|scotland yard inspector|sherlock holmes","Action, Adventure, Mystery","$ 209028679","$ 90000000","English, French","USA, Germany, UK, Australia",7.6,419,"2009-12-25","2009","Sherlock Holmes (2009)"
"134","","Action, Adventure, Drama","$ 26410477","$ 100000000","English, Persian, Greek, Arabic, Latin","USA",5.7,229,"2016-09-29","2016","Ben-Hur (2016)"
"135","alien|arcade game|chase|driving in reverse|video gamer","Action, Comedy, Fantasy","$ 78747585","$ 88000000","English, Hindi, Japanese","USA, China, Canada",5.5,285,"2015-07-29","2015","Pixels (2015)"
"136","message from outer space|religion|religion versus science|scientist|universe","Drama, Mystery, Sci-Fi","$ 100920329","$ 90000000","English, Spanish, German, Russian","USA",7.4,173,"1997-11-26","1997","Contact (1997)"
"137","african|assassination|dialect|interpreter|threat","Crime, Mystery, Thriller","$ 72708161","$ 80000000","English, Aboriginal, French, Portuguese","UK, France, Germany, USA",6.4,230,"2005-10-28","2005","The Interpreter (2005)"
"138","card trick|london england|magician|rain machine|rooftop","Action, Adventure, Comedy","$ 65075540","$ 90000000","English, Mandarin, Cantonese","France, USA",6.5,287,"2016-06-10","2016","Now You See Me 2 (2016)"
"139","china|cia|cold war|friendship|retirement","Action, Crime, Thriller","$ 62362560","$ 115000000","English, German, Arabic, French, Cantonese","USA, Germany, Japan, France",7.1,94,"2001-12-14","2001","Spy Game (2001)"
"140","astronaut|mars|mars the planet|outer space|zero gravity","Adventure, Sci-Fi, Thriller","$ 60883407","$ 100000000","English","USA, Canada, France",5.7,193,"2000-05-05","2000","Mission to Mars (2000)"
"141","bird|brazilian|cockatoo|macaw|minnesota","Animation, Adventure, Comedy","$ 143619809","$ 90000000","English, Portuguese","USA, Brazil",6.9,242,"2011-04-15","2011","Rio (2011)"
"142","actual animal killed|cult|evil sorcerer|gladiator|warlord","Action, Adventure, Fantasy","$ 21295021","$ 90000000","English","USA, Bulgaria, Germany, India",5.2,320,"2011-08-18","2011","Conan the Barbarian (2011)"
"143","device|disaster|divorce|storm|tornado","Action, Adventure, Thriller","$ 241721524","$ 92000000","English","USA",6.4,119,"1996-10-25","1996","Twister (1996)"
"144","christmas|island|love|survival|talking to inanimate object","Adventure, Drama, Romance","$ 233632142","$ 90000000","English, Russian","USA",7.8,100,"2001-01-12","2001","Cast Away (2001)"
